composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0785,0.0032,0.0641,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.3274,-0.0815,0.0849,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4905,0.1562,0.1412,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.6225,0.083,0.3569,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.7541,0.1397,0.7464,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7494,0.1735,0.7526,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.648,0.0862,0.4375,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.7454,0.1569,0.6895,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7397,0.1484,0.7463,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.44,0.0784,0.2477,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.6459,0.1433,0.585,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7423,0.1577,0.7432,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2005,0.2083,0.3344,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.502,0.1439,0.3981,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7394,0.1647,0.7363,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.5335,0.1155,0.411,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.7392,0.1512,0.7347,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7508,0.1581,0.7385,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2975,0.0851,0.1683,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.7422,0.1516,0.6526,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7457,0.157,0.7365,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3967,0.1277,0.2556,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5191,0.0914,0.4543,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7344,0.1664,0.7498,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.1222,0.1932,0.383,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5245,0.1299,0.3399,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.6387,0.1522,0.594,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4436,0.1363,0.2722,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.7329,0.1466,0.6907,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.733,0.1436,0.7212,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2882,0.0995,0.1747,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.6751,0.1748,0.6616,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.731,0.1415,0.7236,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0948,0.1479,0.218,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5304,0.1037,0.1995,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7397,0.1416,0.7074,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2425,0.1847,0.2256,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4952,0.0833,0.4175,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3098,0.0533,0.1696,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3273,0.0676,0.2459,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7015,0.1372,0.6674,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3117,0.1427,0.1494,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.4518,0.045,0.4994,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.675,0.1466,0.6227,l,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0535,0.1288,0.2508,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.4417,0.1151,0.2557,l,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.5609,0.1033,0.5582,l,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.2849,0.1822,0.1901,l,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4041,0.1143,0.432,l,6
