composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.1752,0.0337,0.0,224.0,353.0,0.4023,3.1113
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.5377,0.0057,0.0,114.0,199.0,0.7273,0.3405
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.4214,-0.0718,0.0,142.0,253.0,0.5701,1.7231
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.4598,-0.0839,0.0,208.0,375.0,0.6118,3.2384
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.0729,-0.0625,0.0,441.0,733.0,1.2114,1.667
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.4109,0.4773,0.0,1443.0,5408.0,0.0734,0.0709
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.6745,0.3365,0.0,851.0,2021.0,0.1421,0.1654
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.3309,0.2784,0.0,1118.0,2883.0,2.6078,4.8378
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.7037,0.6104,0.0,1191.0,3830.0,2.2268,4.4856
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.4431,0.3869,0.0,2268.0,8605.0,0.705,0.5236
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.6401,0.3908,0.0,1127.0,3948.0,0.555,0.5086
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.4542,0.2018,0.0,1372.0,4313.0,3.6748,5.4836
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.7254,0.4887,0.0,611.0,1619.0,0.1443,0.171
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.263,0.5556,0.0,2114.0,10385.0,0.081,0.0977
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.2688,0.4149,0.0,2886.0,11292.0,0.6481,0.5137
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.6243,0.6139,0.0,1208.0,3202.0,2.705,5.1617
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.6866,0.4309,0.0,1056.0,2588.0,0.4404,0.4982
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.2816,0.5641,0.0,2458.0,7476.0,0.2778,0.0725
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.7316,0.5272,0.0,1080.0,3268.0,0.0383,0.1955
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.4788,0.345,0.0,1034.0,3193.0,2.7301,5.0817
